data.date;data.confirmed;data.hosp;data.deaths
31/03/2022;80004185;11294;979236
01/04/2022;80036620;10900;979881
02/04/2022;80048015;10526;980018
03/04/2022;80052942;10380;980057
04/04/2022;80093982;10515;980682
05/04/2022;80124875;10479;981146
06/04/2022;80174198;10418;982263
07/04/2022;80209904;10402;982971
08/04/2022;80254009;10218;983514
09/04/2022;80267530;9875;983786
10/04/2022;80275715;9866;983813
11/04/2022;80325700;10090;984247
12/04/2022;80354734;10112;984838
13/04/2022;80408643;10163;985832
14/04/2022;80466106;10199;986448
15/04/2022;80513724;10298;987171
16/04/2022;80524627;9958;987211
17/04/2022;80535906;10152;987228
18/04/2022;80595982;10413;987545
19/04/2022;80646004;10676;987999
20/04/2022;80708901;10919;988610
21/04/2022;80768167;11101;989094
22/04/2022;80836264;11205;989584
23/04/2022;80855181;11236;989681
24/04/2022;80867572;11460;989709
25/04/2022;80942184;11920;990062
26/04/2022;80996837;12352;990368
